date,min-max,average_price
19 พ.ค. 2564,24 - 25,24.50 
20 พ.ค. 2564,26 - 30,28.00 
21 พ.ค. 2564,26 - 30,28.00 
24 พ.ค. 2564,26 - 30,28.00 
25 พ.ค. 2564,26 - 30,28.00 
27 พ.ค. 2564,26 - 30,28.00 
28 พ.ค. 2564,26 - 30,28.00 
31 พ.ค. 2564,30 - 35,32.50 
01 มิ.ย. 2564,30 - 35,32.50 
02 มิ.ย. 2564,35 - 40,37.50 
04 มิ.ย. 2564,35 - 40,37.50 
07 มิ.ย. 2564,35 - 40,37.50 
08 มิ.ย. 2564,35 - 40,37.50 
09 มิ.ย. 2564,35 - 40,37.50 
10 มิ.ย. 2564,40 - 45,42.50 
11 มิ.ย. 2564,35 - 40,37.50 
14 มิ.ย. 2564,35 - 40,37.50 
15 มิ.ย. 2564,35 - 40,37.50 
16 มิ.ย. 2564,40 - 45,42.50 
17 มิ.ย. 2564,35 - 40,37.50 
18 มิ.ย. 2564,35 - 40,37.50 
21 มิ.ย. 2564,35 - 40,37.50 
22 มิ.ย. 2564,40 - 45,42.50 
23 มิ.ย. 2564,40 - 45,42.50 
24 มิ.ย. 2564,40 - 45,42.50 
25 มิ.ย. 2564,40 - 45,42.50 
28 มิ.ย. 2564,40 - 45,42.50 
29 มิ.ย. 2564,40 - 45,42.50 
30 มิ.ย. 2564,40 - 45,42.50 
01 ก.ค. 2564,40 - 45,42.50 
02 ก.ค. 2564,40 - 45,42.50 
05 ก.ค. 2564,35 - 40,37.50 
06 ก.ค. 2564,35 - 40,37.50 
07 ก.ค. 2564,35 - 40,37.50 
08 ก.ค. 2564,35 - 40,37.50 
09 ก.ค. 2564,25 - 30,27.50 
12 ก.ค. 2564,25 - 30,27.50 
13 ก.ค. 2564,25 - 30,27.50 
14 ก.ค. 2564,25 - 30,27.50 
15 ก.ค. 2564,20 - 25,22.50 
16 ก.ค. 2564,20 - 25,22.50 
19 ก.ค. 2564,25 - 30,27.50 
20 ก.ค. 2564,25 - 30,27.50 
21 ก.ค. 2564,25 - 30,27.50 
22 ก.ค. 2564,25 - 30,27.50 
23 ก.ค. 2564,25 - 30,27.50 
27 ก.ค. 2564,25 - 30,27.50 
29 ก.ค. 2564,25 - 30,27.50 
30 ก.ค. 2564,25 - 30,27.50 
02 ส.ค. 2564,25 - 30,27.50 
03 ส.ค. 2564,25 - 30,27.50 
04 ส.ค. 2564,25 - 30,27.50 
05 ส.ค. 2564,25 - 30,27.50 
06 ส.ค. 2564,25 - 30,27.50 
09 ส.ค. 2564,25 - 30,27.50 
10 ส.ค. 2564,25 - 30,27.50 
11 ส.ค. 2564,25 - 30,27.50 
13 ส.ค. 2564,25 - 30,27.50 
16 ส.ค. 2564,25 - 30,27.50 
17 ส.ค. 2564,25 - 30,27.50 
18 ส.ค. 2564,25 - 30,27.50 
19 ส.ค. 2564,25 - 30,27.50 
20 ส.ค. 2564,25 - 30,27.50 
23 ส.ค. 2564,25 - 30,27.50 
24 ส.ค. 2564,30 - 35,32.50 
25 ส.ค. 2564,30 - 35,32.50 
26 ส.ค. 2564,30 - 35,32.50 
27 ส.ค. 2564,25 - 30,27.50 
30 ส.ค. 2564,25 - 30,27.50 
31 ส.ค. 2564,25 - 30,27.50 
01 ก.ย. 2564,25 - 30,27.50 
02 ก.ย. 2564,25 - 30,27.50 
03 ก.ย. 2564,25 - 30,27.50 
06 ก.ย. 2564,25 - 30,27.50 
07 ก.ย. 2564,30 - 35,32.50 
08 ก.ย. 2564,35 - 40,37.50 
09 ก.ย. 2564,35 - 40,37.50 
10 ก.ย. 2564,35 - 40,37.50 
13 ก.ย. 2564,35 - 40,37.50 
14 ก.ย. 2564,40 - 45,42.50 
15 ก.ย. 2564,45 - 50,47.50 
16 ก.ย. 2564,40 - 45,42.50 
17 ก.ย. 2564,45 - 50,47.50 
20 ก.ย. 2564,45 - 50,47.50 
21 ก.ย. 2564,45 - 50,47.50 
22 ก.ย. 2564,50 - 55,52.50 
23 ก.ย. 2564,50 - 55,52.50 
