date,average_rainfall,average_temp,average_humidity
2021-11-30,3.1077905491698603,24.9,75.01
2021-12-01,9.202043422733077,24.51,73.27
2021-12-02,3.9771794871794857,23.48,74.91
2021-12-03,1.3833971902937428,23.3,73.07
2021-12-04,0.5011494252873561,22.41,71.72
2021-12-05,0.0668373879641485,21.79,70.87
2021-12-06,0.0475578406169666,22.53,70.99
2021-12-07,0.099614890885751,23.13,70.84
2021-12-08,0.1503856041131105,23.32,72.19
2021-12-09,0.7482714468629962,24.62,74.32
2021-12-10,0.8218790218790217,25.3,76.08
2021-12-11,0.1239690721649485,25.19,75.27
2021-12-12,0.0694980694980695,24.85,74.22
2021-12-13,0.7793281653746766,24.59,74.29
2021-12-14,0.6562905317769125,24.3,75.03
2021-12-15,0.3704663212435232,24.57,76.34
2021-12-16,4.137789203084831,24.85,76.36
2021-12-17,3.5558408215661106,25.11,76.01
2021-12-18,1.7825417201540434,25.13,73.29
2021-12-19,0.5543367346938775,23.44,72.92
2021-12-20,0.2606914212548015,22.82,73.21
2021-12-21,0.2792838874680305,23.15,75.5
2021-12-22,0.148974358974359,23.98,75.57
2021-12-23,0.3092307692307692,24.62,75.94
2021-12-24,0.2681992337164749,25.1,78.06
2021-12-25,1.5184713375796184,25.32,79.47
2021-12-26,0.4904214559386969,25.55,78.7
2021-12-27,0.0542199488491048,25.74,75.82
2021-12-28,0.2350832266325224,25.24,73.61
2021-12-29,4.165641025641023,25.57,74.18
2021-12-30,2.8398467432950194,25.56,74.93
2021-12-31,0.6805128205128209,25.06,74.55
2022-01-01,0.98974358974359,24.71,74.19
2022-01-02,0.8965250965250963,24.63,74.14
2022-01-03,0.8431673052362705,24.52,74.88
2022-01-04,0.3284615384615383,24.75,75.75
2022-01-05,0.2585365853658536,24.97,75.22
2022-01-06,0.0980544747081711,25.22,73.78
2022-01-07,0.1855109961190168,25.35,73.82
2022-01-08,0.2166449934980493,25.41,73.89
2022-01-09,0.0355844155844155,25.31,73.73
2022-01-10,0.0551365409622886,25.41,72.86
2022-01-11,0.0620957309184993,25.39,72.97
2022-01-12,0.0526992287917738,24.9,75.04
2022-01-13,0.0395939086294416,25.48,74.39
2022-01-14,0.0436692506459948,25.78,72.71
2022-01-15,0.3314432989690719,25.4,73.71
2022-01-16,1.1729032258064522,25.26,75.46
2022-01-17,0.3434108527131782,25.53,75.1
2022-01-18,0.4817948717948715,25.35,73.61
2022-01-19,0.876546391752577,24.8,73.56
2022-01-20,1.4579487179487205,25.03,75.12
2022-01-21,2.7148717948717973,24.63,80.9
2022-01-22,2.0553846153846176,24.87,81.14
2022-01-23,0.2917525773195873,25.17,78.14
2022-01-24,0.1257731958762887,25.28,74.78
2022-01-25,0.0701164294954722,25.65,72.56
2022-01-26,0.0606451612903225,25.96,72.29
2022-01-27,0.328185328185328,26.12,73.33
2022-01-28,0.0472440944881889,26.42,73.06
2022-01-29,0.1484293193717277,26.79,72.71
2022-01-30,0.2112418300653594,26.42,71.09
2022-01-31,0.1958060288335517,25.8,72.08
2022-02-01,0.1853403141361257,25.67,73.79
2022-02-02,1.47303664921466,28.39,68.02
2022-02-03,1.501312335958006,26.13,75.94
2022-02-04,2.761045751633989,25.67,77.06
2022-02-05,2.066143790849674,24.67,77.64
2022-02-06,0.6041775456919057,25.35,75.05
2022-02-07,1.4614775725593676,26.44,74.38
2022-02-08,0.8765171503957789,26.88,72.97
2022-02-09,0.8806324110671943,26.86,74.15
2022-02-10,0.4871862615587842,26.88,74.76
2022-02-11,3.2711640211640223,26.74,76.77
2022-02-12,1.3318421052631595,26.64,78.2
2022-02-13,1.7976284584980238,27.06,76.52
2022-02-14,6.424736842105259,26.27,78.13
2022-02-15,5.138076416337272,25.18,81.97
2022-02-16,6.778947368421049,25.49,83.74
2022-02-17,1.8832684824902783,26.01,84.44
2022-02-18,4.589378238341968,27.23,82.11
2022-02-19,4.590897269180748,27.52,81.98
2022-02-20,4.1427083333333306,26.07,81.88
2022-02-21,0.967792207792208,24.08,79.02
2022-02-22,0.7828571428571425,24.63,75.51
2022-02-23,1.7607792207792212,24.83,73.39
2022-02-24,5.848186528497406,24.29,70.93
2022-02-25,11.418628719275551,24.03,72.11
2022-02-26,8.684046692607007,24.84,71.42
2022-02-27,1.7453125,25.59,71.81
2022-02-28,0.361038961038961,26.88,71.64
2022-03-01,0.4083224967490245,27.74,72.32
2022-03-02,0.7438961038961037,27.91,73.79
2022-03-03,0.4223376623376621,28.32,74.35
2022-03-04,0.802346805736636,28.73,74.78
2022-03-05,1.5443864229765023,29.1,74.65
2022-03-06,2.3587467362924293,28.97,75.76
2022-03-07,6.27565445026178,28.4,77.04
2022-03-08,1.881201044386425,26.82,78.17
2022-03-09,0.3715775749674052,28.07,75.25
2022-03-10,0.4104031209362807,28.98,74.17
2022-03-11,0.2974025974025973,29.26,73.99
2022-03-12,0.1815584415584416,29.82,73.69
2022-03-13,1.294285714285714,30.02,73.93
2022-03-14,1.052207792207792,29.94,74.91
2022-03-15,1.5283116883116905,29.99,74.7
2022-03-16,3.245654993514913,28.92,76.84
2022-03-17,2.1544631306597704,29.08,76.06
2022-03-18,6.2147477360931385,27.8,79.33
2022-03-19,4.32299741602067,27.78,78.99
2022-03-20,6.485862516212705,28.19,79.19
2022-03-21,3.2437823834196884,28.05,80.86
2022-03-22,5.691870967741931,28.4,80.39
2022-03-23,6.906064516129031,28.16,81.59
2022-03-24,3.1358974358974363,28.26,80.77
2022-03-25,2.7465473145780064,28.91,77.87
2022-03-26,0.7170918367346937,29.78,75.25
2022-03-27,2.9943949044586016,29.88,75.14
2022-03-28,4.9222363405336695,28.6,77.43
2022-03-29,4.735705209656922,28.3,77.87
2022-03-30,1.3213740458015268,28.65,77.42
2022-03-31,2.820838627700125,29.21,75.18
2022-04-01,6.669861286254723,28.28,75.34
2022-04-02,8.032282471626736,24.1,79.19
2022-04-03,2.4189155107187914,23.28,74.47
2022-04-04,4.421410579345088,25.74,69.5
2022-04-05,3.14382871536524,27.29,70.59
2022-04-06,2.178589420654913,28.29,71.76
2022-04-07,1.5806775407779174,27.77,70.78
2022-04-08,0.4338345864661652,27.51,68.99
2022-04-09,1.262828535669587,27.78,69.88
2022-04-10,0.3784461152882203,28.56,71.93
2022-04-11,1.3618569636135516,29.27,73.94
2022-04-12,1.211320754716981,29.84,73.25
2022-04-13,1.559245283018869,30.12,72.22
2022-04-14,1.237027707808565,30.25,71.79
2022-04-15,0.5769620253164552,30.62,70.52
2022-04-16,1.9709228824273064,30.53,71.56
2022-04-17,5.348484848484844,29.72,75.45
2022-04-18,8.058942065491177,28.47,79.17
2022-04-19,3.130314465408804,29.32,73.65
2022-04-20,3.718136020151131,28.3,76.58
2022-04-21,3.613366960907942,28.57,77.76
2022-04-22,2.209823677581867,29.02,78.03
2022-04-23,0.6176100628930812,30.01,75.6
2022-04-24,1.3124842370744012,30.72,73.99
2022-04-25,1.0607052896725444,31.02,73.71
2022-04-26,1.970780856423176,30.94,74.11
2022-04-27,0.2196473551637279,31.46,72.83
2022-04-28,11.921969696969697,31.08,74.18
2022-04-29,3.1122320302648125,28.88,77.88
2022-04-30,6.198992443324935,29.34,77.81
2022-05-01,11.811794228356346,28.15,81.65
2022-05-02,5.613032581453632,25.59,83.15
2022-05-03,4.44981226533167,25.25,77.16
2022-05-04,1.825031289111392,26.27,75.24
2022-05-05,4.236159600997503,28.19,75.06
2022-05-06,10.35024875621889,28.27,80.42
2022-05-07,14.189813664596294,27.36,85.94
2022-05-08,10.420621118012408,27.68,85.22
2022-05-09,7.495403726708061,28.05,84.66
2022-05-10,8.64651741293532,28.06,85.28
2022-05-11,7.645330012453288,28.1,85.29
2022-05-12,6.901990049751243,28.49,83.79
2022-05-13,2.8194271481942748,29.28,81.21
2022-05-14,2.998007471980075,29.88,79.49
2022-05-15,9.129763387297636,29.66,80.56
2022-05-16,11.43109452736318,28.49,82.31
2022-05-17,13.831094527363208,27.73,82.57
2022-05-18,8.664508094645075,27.82,83.57
2022-05-19,7.38306351183063,28.04,84.25
2022-05-20,11.428393524283916,27.85,85.09
2022-05-21,13.427182044887786,27.14,86.69
2022-05-22,4.816708229426429,27.59,84.07
2022-05-23,2.0736579275905136,28.77,80.2
2022-05-24,2.976029962546824,28.77,79.89
2022-05-25,2.583790523690774,29.01,79.27
2022-05-26,1.4117353308364555,29.32,78.29
2022-05-27,2.820474406991261,29.14,78.35
2022-05-28,6.240648379052366,28.76,79.45
2022-05-29,7.35730337078651,28.53,80.45
2022-05-30,5.5695000000000014,29.13,79.19
2022-05-31,4.4422500000000005,28.79,81.56
2022-06-01,4.011013767209009,29.18,80.39
2022-06-02,4.6315,29.5,79.21
2022-06-03,8.502999999999997,28.7,81.55
2022-06-04,7.872590738423019,28.2,82.74
2022-06-05,3.876749999999993,28.42,81.53
2022-06-06,4.044694132334582,28.7,79.85
2022-06-07,1.9857677902621729,28.57,78.72
2022-06-08,0.95575,28.59,78.21
2022-06-09,2.961999999999999,29.09,78.52
2022-06-10,3.206749999999999,29.11,78.95
2022-06-11,2.7775000000000016,29.12,78.4
2022-06-12,2.048060075093869,29.42,78.11
2022-06-13,2.1755000000000013,29.59,77.49
2022-06-14,5.712609238451929,29.29,79.62
2022-06-15,8.772034956304616,28.23,82.98
2022-06-16,3.350000000000002,28.57,81.82
2022-06-17,5.780774032459418,28.86,81.22
2022-06-18,1.0509363295880154,28.98,79.78
2022-06-19,3.3566084788029933,29.68,76.89
2022-06-20,4.365586034912715,29.45,76.48
2022-06-21,4.58505603985056,29.4,77.09
2022-06-22,3.301249999999998,29.17,78.0
