date,min-max,average_price
12 ก.พ. 2565,20 - 25,22.50 
13 ก.พ. 2565,20 - 25,22.50 
14 ก.พ. 2565,20 - 25,22.50 
15 ก.พ. 2565,20 - 25,22.50 
16 ก.พ. 2565,20 - 25,22.50 
17 ก.พ. 2565,20 - 25,22.50 
18 ก.พ. 2565,20 - 25,22.50 
19 ก.พ. 2565,20 - 25,22.50 
20 ก.พ. 2565,20 - 25,22.50 
21 ก.พ. 2565,30 - 35,32.50 
22 ก.พ. 2565,30 - 35,32.50 
23 ก.พ. 2565,30 - 35,32.50 
24 ก.พ. 2565,35 - 40,37.50 
25 ก.พ. 2565,35 - 40,37.50 
26 ก.พ. 2565,40 - 45,42.50 
27 ก.พ. 2565,40 - 45,42.50 
28 ก.พ. 2565,35 - 40,37.50 
01 มี.ค. 2565,30 - 35,32.50 
02 มี.ค. 2565,30 - 35,32.50 
03 มี.ค. 2565,25 - 30,27.50 
04 มี.ค. 2565,25 - 30,27.50 
05 มี.ค. 2565,25 - 30,27.50 
06 มี.ค. 2565,20 - 25,22.50 
07 มี.ค. 2565,20 - 25,22.50 
08 มี.ค. 2565,15 - 20,17.50 
09 มี.ค. 2565,15 - 20,17.50 
10 มี.ค. 2565,15 - 20,17.50 
11 มี.ค. 2565,15 - 20,17.50 
12 มี.ค. 2565,15 - 20,17.50 
13 มี.ค. 2565,15 - 20,17.50 
14 มี.ค. 2565,20 - 25,22.50 
15 มี.ค. 2565,20 - 25,22.50 
16 มี.ค. 2565,20 - 25,22.50 
17 มี.ค. 2565,20 - 25,22.50 
18 มี.ค. 2565,15 - 20,17.50 
19 มี.ค. 2565,15 - 20,17.50 
20 มี.ค. 2565,15 - 20,17.50 
21 มี.ค. 2565,15 - 20,17.50 
22 มี.ค. 2565,15 - 20,17.50 
23 มี.ค. 2565,15 - 20,17.50 
24 มี.ค. 2565,15 - 20,17.50 
25 มี.ค. 2565,15 - 20,17.50 
26 มี.ค. 2565,15 - 20,17.50 
27 มี.ค. 2565,15 - 20,17.50 
28 มี.ค. 2565,15 - 20,17.50 
29 มี.ค. 2565,15 - 20,17.50 
30 มี.ค. 2565,15 - 20,17.50 
31 มี.ค. 2565,20 - 25,22.50 
01 เม.ย. 2565,20 - 25,22.50 
02 เม.ย. 2565,20 - 25,22.50 
03 เม.ย. 2565,20 - 25,22.50 
04 เม.ย. 2565,20 - 25,22.50 
